Week,PlayerID,Name,Team,Position,PassingYards,Played,PassingTouchdowns,PassingInterceptions,RushingTouchdowns,ReceivingYards,ProjFantasyPoints,OpponentPositionRank,ActFantasyPoints
1,18890,Patrick Mahomes,KC,QB,165.2,1,0.7,0.1,0.1,0.0,12.6,16,
1,20889,Kyler Murray,ARI,QB,139.4,1,0.5,0.2,0.1,0.0,12.5,17,
1,19781,Lamar Jackson,BAL,QB,116.5,1,0.4,0.2,0.1,0.0,11.8,4,
1,19801,Josh Allen,BUF,QB,142.4,1,0.5,0.2,0.1,0.0,11.7,29,
1,14536,Russell Wilson,SEA,QB,149.6,1,0.6,0.2,0.0,0.0,11.5,24,
1,2593,Aaron Rodgers,GB,QB,156.5,1,0.6,0.1,0.0,0.0,11.1,27,
1,13799,Ryan Tannehill,TEN,QB,137.4,1,0.6,0.2,0.1,0.0,11.0,3,
1,18055,Dak Prescott,DAL,QB,143.7,1,0.5,0.2,0.1,0.0,10.9,14,
1,21681,Justin Herbert,LAC,QB,142.2,1,0.5,0.2,0.1,0.0,10.5,9,
1,21831,Jalen Hurts,PHI,QB,112.8,1,0.4,0.2,0.1,0.0,10.4,5,
1,4314,Tom Brady,TB,QB,157.5,1,0.6,0.2,0.0,0.0,10.0,20,
1,21693,Joe Burrow,CIN,QB,135.4,1,0.5,0.2,0.1,0.0,5.1,28,
1,14252,Kirk Cousins,MIN,QB,140.5,1,0.5,0.2,0.0,0.0,5.1,2,
1,9038,Matthew Stafford,LAR,QB,149.3,1,0.5,0.2,0.0,0.0,5.0,22,
1,732,Matt Ryan,ATL,QB,155.0,1,0.5,0.2,0.0,0.0,5.0,15,
1,8283,Ryan Fitzpatrick,WAS,QB,143.8,1,0.5,0.3,0.1,0.0,4.9,13,
1,19790,Baker Mayfield,CLE,QB,135.0,1,0.5,0.2,0.0,0.0,4.7,18,
1,16041,Jimmy Garoppolo,SF,QB,138.2,1,0.5,0.2,0.0,0.0,4.7,8,
1,3807,Ben Roethlisberger,PIT,QB,142.5,1,0.5,0.2,0.0,0.0,4.5,21,
1,22490,Trevor Lawrence,JAX,QB,125.2,1,0.5,0.2,0.0,0.0,4.5,7,
1,21677,Tua Tagovailoa,MIA,QB,126.9,1,0.4,0.2,0.1,0.0,4.5,25,
1,19812,Sam Darnold,CAR,QB,132.0,1,0.4,0.2,0.0,0.0,4.5,11,
1,16311,Derek Carr,LV,QB,133.6,1,0.4,0.2,0.0,0.0,4.5,31,
1,20841,Daniel Jones,NYG,QB,123.9,1,0.4,0.2,0.0,0.0,4.4,12,
1,16762,Jameis Winston,NO,QB,127.2,1,0.4,0.3,0.1,0.0,4.3,30,
1,13320,Cam Newton,NE,QB,103.6,1,0.3,0.2,0.1,0.0,4.3,19,
1,22495,Zach Wilson,NYJ,QB,120.4,1,0.4,0.2,0.0,0.0,4.0,1,
1,17922,Jared Goff,DET,QB,127.0,1,0.4,0.2,0.0,0.0,4.0,32,
1,16497,Teddy Bridgewater,DEN,QB,103.8,1,0.3,0.2,0.1,0.0,3.7,23,
1,12841,Andy Dalton,CHI,QB,111.1,1,0.3,0.2,0.0,0.0,3.6,6,
1,21820,Jacob Eason,IND,QB,112.9,1,0.3,0.3,0.0,0.0,3.2,26,
1,12831,Tyrod Taylor,HOU,QB,44.8,1,0.1,0.1,0.0,0.0,1.8,10,
1,19238,Taysom Hill,NO,QB,26.4,1,0.1,0.1,0.1,0.0,1.7,30,
1,20859,Drew Lock,DEN,QB,45.4,1,0.1,0.1,0.0,0.0,1.4,23,
1,17920,Carson Wentz,IND,QB,40.1,1,0.1,0.1,0.0,0.0,1.1,26,
1,22493,Trey Lance,SF,QB,29.4,1,0.1,0.1,0.0,0.0,1.0,8,
1,22492,Justin Fields,CHI,QB,31.4,1,0.1,0.1,0.0,0.0,0.7,6,
1,22505,Davis Mills,HOU,QB,25.2,1,0.0,0.1,0.0,0.0,0.5,10,
1,22496,Mac Jones,NE,QB,21.5,1,0.0,0.1,0.0,0.0,0.4,19,
1,21841,Jordan Love,GB,QB,10.7,1,0.1,0.0,0.0,0.0,0.4,27,
1,20874,Trace McSorley,BAL,QB,2.4,1,0.0,0.0,0.0,0.0,0.1,4,
1,20880,Gardner Minshew II,JAX,QB,2.3,1,0.0,0.0,0.0,0.0,0.1,7,
1,18118,Brandon Allen,CIN,QB,2.2,1,0.0,0.0,0.0,0.0,0.1,28,
1,13723,Nick Foles,CHI,QB,2.0,1,0.0,0.0,0.0,0.0,0.1,6,
1,21277,David Blough,DET,QB,1.3,1,0.0,0.0,0.0,0.0,0.1,32,
1,21810,Tyler Huntley,BAL,QB,0.5,1,0.0,0.0,0.0,0.0,0.1,4,
1,18811,Mitchell Trubisky,BUF,QB,1.1,1,0.0,0.0,0.0,0.0,0.1,29,
1,11047,Colt McCoy,ARI,QB,1.0,1,0.0,0.0,0.0,0.0,0.1,17,
1,2405,Chad Henne,KC,QB,0.8,1,0.0,0.0,0.0,0.0,0.0,16,
1,19850,Mason Rudolph,PIT,QB,1.2,1,0.0,0.0,0.0,0.0,0.0,21,
1,12982,Blaine Gabbert,TB,QB,0.8,1,0.0,0.0,0.0,0.0,0.0,20,
1,18018,Jacoby Brissett,MIA,QB,0.6,1,0.0,0.0,0.0,0.0,0.0,25,
1,17179,Taylor Heinicke,WAS,QB,0.7,1,0.0,0.0,0.0,0.0,0.0,13,
1,611,Joe Flacco,PHI,QB,0.4,1,0.0,0.0,0.0,0.0,0.0,5,
1,15201,Mike Glennon,NYG,QB,0.5,1,0.0,0.0,0.0,0.0,0.0,12,
1,16621,Garrett Gilbert,DAL,QB,0.6,1,0.0,0.0,0.0,0.0,0.0,14,
1,16763,Marcus Mariota,LV,QB,0.3,1,0.0,0.0,0.0,0.0,0.0,31,
1,20053,Kyle Allen,WAS,QB,0.3,1,0.0,0.0,0.0,0.0,0.0,13,
1,6489,Josh Johnson,NYJ,QB,0.0,0,0.0,0.0,0.0,0.0,0.0,1,
1,8358,Brian Hoyer,NE,QB,0.0,1,0.0,0.0,0.0,0.0,0.0,19,
1,9902,Chase Daniel,LAC,QB,0.0,1,0.0,0.0,0.0,0.0,0.0,9,
1,14855,Matt Barkley,TEN,QB,0.0,1,0.0,0.0,0.0,0.0,0.0,3,
1,14895,Geno Smith,SEA,QB,0.0,1,0.0,0.0,0.0,0.0,0.0,24,
1,15190,Ryan Griffin,TB,QB,0.0,1,0.0,0.0,0.0,0.0,0.0,20,
1,15694,Case Keenum,CLE,QB,0.0,1,0.0,0.0,0.0,0.0,0.0,18,
1,16116,AJ McCarron,ATL,QB,0.0,1,0.0,0.0,0.0,0.0,0.0,15,
1,16850,Sean Mannion,SEA,QB,0.0,1,0.0,0.0,0.0,0.0,0.0,24,
1,16907,Brett Hundley,IND,QB,0.0,1,0.0,0.0,0.0,0.0,0.0,26,
1,17009,Trevor Siemian,NO,QB,0.0,1,0.0,0.0,0.0,0.0,0.0,30,
1,18104,Nate Sudfeld,SF,QB,0.0,1,0.0,0.0,0.0,0.0,0.0,8,
1,18123,Jeff Driskel,HOU,QB,0.0,1,0.0,0.0,0.0,0.0,0.0,10,
