Week,FantasyPointsPPR,OpponentPositionRank
1,23.6,26
1,16.9,31
1,19.4,20
1,16.4,21
1,17.7,27
1,17.5,17
1,10.1,20
1,11.2,28
1,15,14
1,12.1,11
1,12.2,14
1,9.7,24
1,8.3,8
1,7.9,31
1,11,10
1,7.5,19
1,7.1,2
1,4.7,19
1,4.5,4
1,6.3,13
1,5.9,19
1,3.6,16
1,3,2
1,2.4,14
2,24.7,19
2,27.3,3
2,28.8,25
2,24.3,16
2,17.9,12
2,18.4,14
2,16.3,2
2,14.4,31
2,12.8,29
2,10.6,21
2,10.4,28
2,14.5,27
2,9.5,4
2,12.6,26
2,10.3,12
2,12.6,28
2,7.5,30
2,8.2,29
2,4.7,32
2,6.8,18
2,4.3,20
2,2.9,5
2,2.7,8
2,2.2,25
2,1.9,10
2,1.5,5
2,1.5,9
2,1.4,21
2,1.3,1
2,1.3,30
2,1.3,25
2,1.2,18
3,27,28
3,18.3,17
3,11.8,4
3,15.8,14
3,9.5,23
3,9.3,29
3,12.5,15
3,10.5,10
3,11.3,8
3,10,5
3,10,26
3,11.2,6
3,12.2,26
3,10.8,9
3,8.3,17
3,7.5,12
3,7,29
3,5.6,18
3,6.5,1
3,5.7,28
3,2.9,3
3,2.7,18
3,3.7,4
3,2.4,25
3,2,21
3,3.2,20
4,11.3,10
4,13.4,3
4,2.3,3
4,1.9,3
4,1.6,3
4,1.2,11
4,1.1,3
4,0.9,2
4,1.1,1
4,1.8,3
4,1,2
4,0.9,10
4,0.7,1
4,1,3
4,1,1
4,0.5,11
4,0.4,2
4,0.5,2
4,0.4,2
4,0.4,10
4,0.5,2
4,0.5,1
4,0.4,1
4,0.2,2
4,0.2,2
4,0.2,3
4,0.2,3
4,0.2,3
5,15.3,20
5,7,17
5,10.3,1
5,6.9,21
5,4.7,6
5,5.5,2
5,3.9,1
5,5.7,1
5,4.3,15
5,4.5,3
5,3,15
5,4.4,20
5,2.2,16
5,1.6,6
5,1.5,7
5,2.4,12
5,1.7,21
5,1.5,5
5,1.4,11
5,0.8,7
5,0.8,12
5,0.7,19
5,0.7,22
5,0.7,14
5,0.6,17
6,23.3,25
6,21.4,8
6,17.9,18
6,16.1,22
6,15,3
6,14,32
6,11,31
6,11.3,19
6,11.6,11
6,9.7,16
6,10.9,5
6,9.5,21
6,6.2,25
6,7.1,15
6,3,17
6,3.8,28
6,2.2,9
6,2.2,18
7,22.1,25
7,17.6,12
7,16.4,24
7,17.3,32
7,17.4,11
7,12.5,6
7,10.1,29
7,14.8,6
7,10.2,25
7,13.1,3
7,10.6,23
7,10.8,5
7,10.4,22
7,11.3,27
7,11.2,30
7,7.1,14
7,6.1,10
7,5.5,20
7,6.5,26
7,6.4,15
7,4.7,14
7,5.6,29
7,4.4,30
7,4,10
7,2,20
7,2,8
7,1.7,24
9,27,10
9,18.3,19
9,15.6,20
9,11.7,23
9,13.8,25
9,9.9,2
9,10.2,16
9,8.1,2
9,13.8,9
9,7.7,5
9,11.5,29
9,8.9,7
9,9.6,4
9,9.4,1
9,7.8,11
9,7.6,13
9,8,15
9,6.3,14
9,5.2,2
9,5,32
9,3.9,29
9,3.2,11
9,2.4,9
9,3.3,16
9,2.1,24
9,2,26
9,1.6,5
9,1.3,22
9,1.3,30
10,19.8,20
10,18.3,20
10,19.6,11
10,15.3,24
10,14.4,2
10,16,21
10,19.8,5
10,10.1,14
10,11,15
10,12.3,32
10,8.2,17
10,5.7,24
10,5.3,11
10,4.3,7
10,3.9,29
10,3.2,5
11,19.5,5
11,15.8,4
11,13.6,15
11,6.8,15
11,10.8,17
11,7.2,22
11,6.6,12
11,6.3,7
11,5.7,15
11,5,5
11,4.4,4
11,3.3,19
11,2.6,5
11,2.6,18
11,2.6,2
11,3.1,16
11,2.3,5
11,2.3,16
11,2.2,2
11,2.1,4
11,1.5,23
11,1.1,4
11,1.1,1
11,1,7
11,1.5,23
11,1,1
11,0.7,15
11,0.7,1
11,0,20
11,0,20
12,29.6,14
12,20.6,14
12,24,19
12,19.4,29
12,20.1,22
12,23.4,23
12,19.9,29
12,12.7,17
12,12.9,10
12,12.5,6
12,10.7,32
12,12.5,16
12,4.8,32
12,6.3,8
12,3.8,13
12,3.8,10
12,3.3,4
12,0.8,16
12,2.7,19
13,29.7,20
13,18.2,3
13,15.7,19
13,6.4,4
13,5.3,17
13,5.1,21
13,5.5,1
13,10.2,18
13,5.4,2
13,4,18
13,3.4,18
13,6,13
13,5.1,3
13,4.2,11
13,5.2,3
13,4.5,2
13,3.7,11
13,3.5,6
13,2,13
13,3.1,11
13,2.2,5
13,2.2,3
13,2.1,17
13,3,4
13,1.9,16
13,2.3,11
13,1.6,19
13,1,11
13,0.9,11
13,0.8,7
13,1.7,21
13,1.2,11
13,0.7,17
13,0.7,2
14,38,9
14,32.3,25
14,22.4,13
14,16.9,23
14,16.5,30
14,20,2
14,13.6,21
14,10.3,23
14,11.4,18
14,14.2,4
14,12.4,29
14,10.2,8
14,8.7,25
14,9.7,26
14,7.6,28
14,7.4,25
14,7.2,11
14,9.1,23
14,7,11
14,3.6,8
14,3.6,15
14,5.3,18
14,3,11
14,3,14
14,2.1,32
15,17.8,12
15,13.5,4
15,12.3,15
15,5.9,19
15,10.4,4
15,13.7,4
15,5.3,2
15,4.1,2
15,3.4,11
15,3.3,1
15,3.1,2
15,3.6,4
15,2.8,6
15,3.5,1
15,2.7,5
15,3,18
15,1.8,14
15,3.2,1
15,2.8,2
15,2.4,17
15,2.1,16
15,1.7,14
15,1.7,5
15,1.6,10
15,1.1,12
15,1.4,13
15,0.9,1
15,1.2,11
15,1.2,11
15,1.1,10
15,0.7,1
15,0.6,6
15,0.4,14
17,14,2
17,10.1,1
17,4.4,5
17,3.3,17
17,3.5,13
17,3.5,11
17,2.3,15
17,3.9,2
17,3.8,3
17,2.3,13
17,2.4,3
17,2,1
17,2.3,15
17,1.4,5
17,1.4,16
17,1.5,4
17,1.2,1
17,1.5,13
17,2.5,2
17,0.8,1
17,1,4
17,1.3,16
17,1.3,3
17,1,4
17,0.6,10
17,0.6,1
17,0.5,15
17,0.5,1
17,0.5,5
17,0.7,14
17,0.4,1
17,0.7,2
17,0.4,12
